filename,category,row,col,src_bbox_x0,src_bbox_y0,src_bbox_x1,src_bbox_y1,crop_x0,crop_y0,crop_w,crop_h,content_px,fill_ratio,w_over_h,mean_hex,color_std,note
row1_col1.png,char,1,1,333,140,533,446,323,130,220,326,39232,0.641,0.65,#7f9c96,85.5,
row1_col2.png,char,1,2,567,151,769,446,557,141,222,315,38373,0.644,0.68,#7f9d96,85.4,
row1_col3.png,char,1,3,779,157,966,447,769,147,207,310,36279,0.669,0.64,#809c95,85.8,
row1_col4.png,char,1,4,1008,173,1206,447,998,163,218,294,35441,0.653,0.72,#809c95,85.8,
row1_col5.png,char,1,5,1227,214,1472,447,1217,204,265,253,36414,0.638,1.05,#88a19a,84.6,
row2_col1.png,char,2,1,49,491,172,634,39,481,143,163,11441,0.65,0.86,#a2afa0,85.1,
row2_col2.png,char,2,2,187,493,309,634,177,483,142,161,11539,0.671,0.87,#a2ae9e,84.8,
row2_col3.png,char,2,3,324,491,448,634,314,481,144,163,11390,0.642,0.87,#a0ad9f,85.6,
row2_col4.png,char,2,4,461,492,581,634,451,482,140,162,11406,0.669,0.85,#a0ad9d,84.9,
row2_col5.png,char,2,5,594,492,721,634,584,482,147,162,11893,0.659,0.89,#a3ac99,85.4,
row2_col6.png,char,2,6,808,517,948,690,798,507,160,193,14954,0.617,0.81,#7c9b93,83.5,
row2_col7.png,char,2,7,1023,508,1160,691,1013,498,157,203,15717,0.627,0.75,#7a9990,86.0,
row2_col8.png,char,2,8,1219,470,1482,942,1209,460,283,492,84984,0.709,0.54,#6b918d,86.7,MERGED: 큰 인사 캐릭터 + '같이 중심을 되찾아봐요!' 말풍선이 픽셀상 연결돼 하나로 잡힘. 크롭에 말풍선 포함됨. 캐릭터만 필요하면 상단 말풍선 영역 수동 제거.
row3_col1.png,char,3,1,48,681,172,880,38,671,144,219,16861,0.683,0.62,#7a9b97,82.1,BLEED: 크롭 상단에 '활용 아이콘' 섹션 라벨이 캐릭터 안테나와 픽셀상 붙어 함께 잡힘. 캐릭터 위쪽 라벨 스트립만 수동으로 잘라내면 됨.
row3_col2.png,char,3,2,214,720,348,881,204,710,154,181,14242,0.66,0.83,#608783,81.3,
row3_col3.png,char,3,3,377,725,520,881,367,715,163,176,14118,0.665,0.87,#6c8e88,83.4,
row3_col4.png,char,3,4,546,721,712,882,536,711,186,181,16187,0.606,1.03,#9fa47e,83.5,
row3_col5.png,char,3,5,789,730,1149,910,779,720,380,200,43568,0.672,2.0,#b4c7c4,64.0,MERGED: 회복 애니메이션 시퀀스 — 페이드(온니언스킨) 프레임 4개 + 시퀀스 끝의 실체 캐릭터가 서로 겹쳐 그려져 하나의 연결영역으로 잡힘. 알파 200 임계에서도 픽셀이 연속이라 자동 분리 불가. 수동 분할 필요.
label_01.png,label,,,1297,45,1422,85,1287,35,145,60,4588,0.918,3.12,#dc414e,29.5,
label_02.png,label,,,1056,46,1184,85,1046,36,148,59,4541,0.91,3.28,#f37435,24.8,
label_03.png,label,,,378,47,492,124,368,37,134,97,5880,0.67,1.48,#73b4b9,37.8,
label_04.png,label,,,833,47,951,85,823,37,138,58,4045,0.902,3.11,#fdbe39,19.3,
label_05.png,label,,,609,48,729,84,599,38,140,56,3990,0.924,3.33,#53a476,31.3,
label_06.png,label,,,63,58,122,78,53,48,79,40,1027,0.87,2.95,#185058,7.0,
label_07.png,label,,,132,58,211,78,122,48,99,40,1250,0.791,3.95,#1c4e56,7.5,
label_08.png,label,,,56,81,264,198,46,71,228,137,12079,0.496,1.78,#0b5153,23.4,
label_09.png,label,,,69,210,168,242,59,200,119,52,1832,0.578,3.09,#0f555d,8.9,
label_10.png,label,,,63,282,188,297,53,272,145,35,1506,0.803,8.33,#4c6473,5.1,
label_11.png,label,,,196,282,293,297,186,272,117,35,1211,0.832,6.47,#4b6372,5.5,
label_12.png,label,,,64,306,215,321,54,296,171,35,1991,0.879,10.07,#536676,6.3,
label_13.png,label,,,63,331,251,346,53,321,208,35,2372,0.841,12.53,#566878,7.2,
label_14.png,label,,,64,356,192,371,54,346,148,35,1652,0.86,8.53,#556878,8.2,
label_15.png,label,,,51,442,207,476,41,432,176,54,5043,0.951,4.59,#abc5cd,49.7,
label_16.png,label,,,771,466,951,501,761,456,200,55,6019,0.955,5.14,#a7c2ca,52.6,
label_17.png,label,,,583,892,670,906,573,882,107,34,1087,0.892,6.21,#324e55,16.6,
label_18.png,label,,,736,929,828,947,726,919,112,38,1066,0.644,5.11,#3b7080,23.6,
label_19.png,label,,,52,945,165,977,42,935,133,52,3298,0.912,3.53,#a6c1c9,52.9,
label_20.png,label,,,1159,949,1439,979,1149,939,300,50,5987,0.713,9.33,#8b98a3,8.1,
label_21.png,label,,,760,952,1094,982,750,942,354,50,6419,0.641,11.13,#627b8e,10.1,
swatch_01.png,swatch,,,189,938,246,984,179,928,77,66,2227,0.849,1.24,#034f55,5.6,
swatch_02.png,swatch,,,356,939,415,984,346,929,79,65,2267,0.854,1.31,#fdbb2c,3.9,
swatch_03.png,swatch,,,425,938,483,984,415,928,78,66,2228,0.835,1.26,#fceacd,2.4,
swatch_04.png,swatch,,,493,938,551,984,483,928,78,66,2241,0.84,1.26,#b7d9d9,3.3,
swatch_05.png,swatch,,,560,938,620,984,550,928,80,66,2304,0.835,1.3,#dfecf2,2.7,
swatch_06.png,swatch,,,630,938,689,984,620,928,79,66,2313,0.852,1.28,#fdcdc5,2.7,
