customer_id,account_id,year_month,month_index,carryover_share,carryover_share_delta_3m,carryover_share_slope_3m,committed_ratio_delta_3m,payment_ratio_gap,revolving_streak_months,minimum_payment_streak,delinquency_count_6m,limit_utilization_ratio,revolving_payment_to_income_ratio,risk_indicator
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2025-07,1,0.1491896148487524,,,,0.6935,1,0,0,0.4823062,,관찰
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2025-08,2,0.2539272719141038,,,,0.5806,2,0,0,0.4670848,,관찰
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2025-09,3,0.3196930807820179,,0.0852517329666327,,0.532,3,0,0,0.4020852,,관찰
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2025-10,4,0.5585267376544196,0.4093371228056671,0.1522997328701579,-0.2108999999999999,0.4826,4,0,0,0.4141858,,경고
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2025-11,5,0.4858576227614157,0.2319303508473119,0.0830822709896988,-0.1419,0.4387,5,0,0,0.437751,,경고
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2025-12,6,0.4949705271242107,0.1752774463421927,-0.0317781052651044,-0.1657,0.3662999999999999,6,0,0,0.4353248,,경고
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2026-01,7,0.5072322145826075,-0.0512945230718121,0.0106872959105958,-0.1435,0.3390999999999999,7,0,0,0.4523286,,관찰
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2026-02,8,0.5432340110479602,0.0573763882865445,0.0241317419618747,-0.1282999999999999,0.3104,8,0,0,0.4121162,,경고
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2026-03,9,0.5649192426503723,0.0699487155261616,0.0288435140338824,-0.1012,0.2651,9,0,0,0.4259686,,경고
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2026-04,10,0.5964752373245416,0.089243022741934,0.0266206131382906,-0.1372,0.2019,10,0,0,0.4546708,,경고
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2026-05,11,0.6313299043500499,0.0880958933020896,0.0332053308498387,-0.1069,0.2035,11,0,0,0.42701,,경고
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,003c0990-97c7-49ff-be62-0785cd8ed279,2026-06,12,0.6551440140687423,0.09022477141837,0.0293343883721003,-0.0652999999999999,0.1998,12,0,0,0.3974508,,경고
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2025-07,1,0.1149322978745952,,,,0.7068,1,0,0,0.32988,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2025-08,2,0.1146155510583323,,,,0.7221,2,0,0,0.3304195,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2025-09,3,0.1193626723270746,,0.0022151872262396,,0.7182,3,0,0,0.29808825,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2025-10,4,0.1064655246571964,-0.0084667732173988,-0.0040750132005679,0.0243999999999999,0.7312,4,0,0,0.311613,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2025-11,5,0.1049279530189348,-0.0096875980393975,-0.0072173596540699,0.0094,0.7315,5,0,0,0.3255565,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2025-12,6,0.1212793286000393,0.0019166562729646,0.0074069019714214,-0.005,0.7132,6,0,0,0.324789,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2026-01,7,0.1051522299542331,-0.0013132947029633,0.0001121384676491,0.0022,0.7334,7,0,0,0.32681675,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2026-02,8,0.1204860526641745,0.0155580996452397,-0.0003966379679323,-0.0181,0.7134,8,0,0,0.346158,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2026-03,9,0.1317569632384039,0.0104776346383645,0.0133023666420854,-0.0103999999999999,0.7028,9,0,0,0.355147,,관찰
783d27b9-fc1e-4929-8158-2034af834749,00bcb114-e045-404d-a5b4-d23fcc068de6,2026-04,10,0.1092110837136696,0.0040588537594364,-0.0056374844752524,-0.0019,0.7315,10,0,0,0.32540675,,관찰
