account_id,year_month,month_index,billing_amount,committed_payment_ratio,revolving_principal_before_payment,scheduled_principal_payment,revolving_fee,ending_carryover_principal,total_payment_amount,minimum_principal_required,actual_principal_paid,revolving_active,payment_status,payment_event
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2024-10,1,1727937,0.8354,1727937,1443477,0,284460,1443477,420234,1443477,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2024-11,2,1992646,0.7447,2277106,1695862,3858,581244,1699720,553792,1695862,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2024-12,3,1871048,0.6907,2452292,1693771,7883,758521,1701654,596397,1693771,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-01,4,1842544,0.594,2601065,1544921,10287,1056144,1555208,632579,1544921,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-02,5,1780591,0.5167,2836735,1465803,14323,1370932,1480126,689894,1465803,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-03,6,1917489,0.4718,3288421,1551419,18592,1737002,1570011,799744,1551419,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-04,7,1794122,0.4164,3531124,1470345,23557,2060779,1493902,858769,1470345,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-05,8,1923651,0.373,3984430,1486345,27948,2498085,1514293,969013,1486345,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-06,9,1850853,0.3268,4348938,1421159,33878,2927779,1455037,1057662,1421159,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-07,10,1907828,0.3152,4835607,1524174,39705,4835607,1563880,1176020,0,True,연체,delinquent
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-08,11,1746725,0.2759,6582332,1815897,65579,4766435,1881476,1600823,1815897,True,정상,normal
8f44cfcb-1791-4f30-bfb7-cc93859a7382,2025-09,12,1876086,0.2496,6642521,1658249,64641,4984272,1722889,1615461,1658249,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-03,1,601672,0.9796,601672,589378,0,12294,589378,103127,589378,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-04,2,649026,0.9765,661320,645757,167,15563,645924,113350,645757,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-05,3,587906,0.9857,603469,594860,211,8609,595071,103435,594860,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-06,4,650369,0.9884,658978,651309,117,7669,651426,112949,651309,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-07,5,608631,0.9952,616300,613336,104,2964,613440,105634,613336,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-08,6,615534,0.997,618498,616625,40,1873,616665,106011,616625,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-09,7,608572,0.9938,610445,606682,25,3763,606708,104630,606682,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-10,8,684492,0.9783,688255,673295,51,14960,673346,117967,673295,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-11,9,595553,0.9769,610513,596427,203,14086,596630,104642,596427,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2025-12,10,635677,0.9792,649763,636217,191,13546,636408,111369,636217,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2026-01,11,605486,0.976,619032,604172,184,14860,604356,106102,604172,True,정상,normal
60bae007-159d-4c74-9df7-edd1b828bb0e,2026-02,12,584893,0.961,599753,576350,202,23403,576552,102798,576350,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2025-05,1,744901,0.9245,744901,688625,0,56276,688625,201421,688625,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2025-06,2,700591,0.9321,756867,705479,763,51388,706242,204657,705479,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2025-07,3,810981,0.9266,862369,799029,697,63340,799726,233185,799029,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2025-08,4,881057,0.9123,944397,861617,859,689032,862476,255365,255365,True,최소결제,minimum_only
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2025-09,5,720994,0.915,1410026,1290192,9344,119834,1299536,381271,1290192,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2025-10,6,777594,0.9093,897428,816045,1625,81383,817670,242665,816045,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2025-11,7,725358,0.9171,806741,739842,1104,66899,740945,218143,739842,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2025-12,8,723371,0.927,790270,732614,907,57656,733521,213689,732614,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2026-01,9,820997,0.9347,878653,821255,782,57398,822037,237588,821255,True,정상,normal
