account_id,first_warn_month_th35,first_warn_month_th40,first_warn_month_th45
003c0990-97c7-49ff-be62-0785cd8ed279,4.0,4.0,4.0
00bcb114-e045-404d-a5b4-d23fcc068de6,,,
00d82108-ebe7-4fbc-a3e6-f21df497dc3d,4.0,5.0,6.0
013f9a64-580c-4370-b9c1-14ce528706d9,,,
019d6958-97bb-4672-b7a1-db12decb73d7,,,
0320ad2a-1bed-4b32-8e72-a96329d7b444,3.0,3.0,3.0
03618b9e-ee2c-418c-9372-975655fe1c95,3.0,3.0,3.0
03925911-e96e-4e35-8487-8acb97cdce6f,,,
03eeb933-5fad-4777-b249-d56a274b6032,4.0,4.0,4.0
0462449f-3331-4d94-ba75-6febce23306c,3.0,3.0,3.0
05f42960-6838-4c99-b4da-6e76d1beec85,4.0,4.0,5.0
0641a20a-34e6-447e-b994-98a8285cb8e4,4.0,5.0,6.0
06c535d3-98ca-4e4c-a3d3-d86256dde224,3.0,3.0,3.0
06da852b-23f6-4dae-9a19-17f85f5ee152,,,
06fa99ef-5f40-48bc-b1cb-cac3809efa44,4.0,5.0,7.0
071d014e-7b66-49cc-8db0-8b452ec8387b,4.0,6.0,7.0
075336a1-85c6-4ac7-bd62-f091a3d4f4fa,3.0,3.0,3.0
07bbc8a7-577f-44e2-bacf-aba7588630be,3.0,3.0,3.0
07eb577b-9801-4800-8fdb-3e8af5c0b75d,5.0,5.0,7.0
07f9b362-a4e9-4878-833c-b3a0644462e3,,,
0809b7f9-fa50-4eb5-98fb-e9c5fd41c070,7.0,7.0,9.0
0816c855-17ec-4409-89f4-5de0eaaca5dc,,,
08337364-8b2a-49dc-8966-46ee65d22ba2,3.0,3.0,3.0
087a0ea4-0ee8-49e5-af16-a92d46c09bae,4.0,5.0,6.0
088a0795-a2a8-45c5-aa50-878294fa243b,,,
08a1a9b5-216a-427a-8afe-3c8d2b01c129,3.0,3.0,3.0
08f9afe3-911c-4c7a-9697-a50e84b55d42,3.0,3.0,3.0
09049eb6-f695-41a6-af2f-f23ecb67a329,3.0,3.0,3.0
090b1cfd-4f78-44b9-b281-9d9ca74786a1,3.0,3.0,3.0
0913c783-ce77-4421-88c4-4102001d4197,4.0,4.0,4.0
094f94c6-852e-4a99-b820-145d82ed5811,,,
096391c0-27b0-4bfe-a7fd-67a30a6830c5,4.0,4.0,4.0
098ef37e-c5ec-4db2-b94b-44fcee17a73b,5.0,5.0,5.0
09fd1123-0e21-496b-aabb-a55d43886068,,,
0aa0966b-e566-4e90-8fd2-58e7060e59c3,4.0,5.0,6.0
0ac0afe2-564a-4c05-8021-515b5973f0df,3.0,3.0,3.0
0ad240de-3be1-4184-a9e7-847ae8e2b04a,4.0,4.0,6.0
0b43845b-909c-4d91-b1fe-53eacfe17836,5.0,6.0,8.0
0b5b312d-c307-4274-afa8-2579cc3eb1b6,,,
0befc5fa-29bc-4ce2-8857-2855b13c9d13,5.0,7.0,7.0
0c362bf2-d50e-487d-a333-ecfc38a98c39,,,
0c3a60ad-0e32-4d71-9d5a-23bc4b691375,4.0,4.0,7.0
0c6e36a3-27b6-4ceb-89f4-5ac055838b67,3.0,3.0,3.0
0c6fd26c-b2ec-49c0-a2ce-63125ceec288,,,
0c822f5a-133b-4e9f-b1f3-30b653ab4aad,6.0,6.0,6.0
0c8e7aad-410d-4536-91aa-ecf7110b03e2,10.0,10.0,10.0
0c9c0383-5c16-4710-9019-ecf687d47b3a,,,
0d186c4f-ae41-4c08-bc1e-c1aafa18977a,5.0,5.0,5.0
0d2599fd-d94f-40f1-81e7-b6d5a7793a92,4.0,4.0,4.0
0d89f4b6-5f38-409e-8f91-4e118fac089e,4.0,4.0,5.0
0db23c70-f45a-439b-832c-0b1fcd0d2315,,,
0df5a2c9-e902-432e-82f2-ade2276898de,3.0,3.0,3.0
0dffd001-4b0a-446b-82ef-fc920a45639d,,,
0eedce32-1341-41db-96d5-7f7c5a388493,3.0,3.0,3.0
0ef07878-4974-4f14-abb8-c54126b3cc92,,,
0ef5ecc7-210d-435f-bfdf-70b61e25ca2a,4.0,6.0,7.0
0f022498-7827-48b9-9672-d1fa667ee8b0,3.0,3.0,3.0
0fddabb4-9cbc-4b0e-b125-2e5357c9562b,8.0,11.0,
0febd529-131a-40e7-8ff4-7649468cf64e,10.0,10.0,10.0
1056b7d4-62c9-4563-a677-5a6d812c145a,5.0,6.0,7.0
1094face-5aa4-43fa-a462-4e3e72ad615e,4.0,5.0,6.0
10b4aaf8-00c2-4509-9162-3f858f859bd5,,,
1108da1b-c63d-46b3-9398-3821a8685c5b,8.0,8.0,8.0
1154c53b-c781-4440-8562-9bb9880b68a1,3.0,3.0,3.0
125e8641-e71c-478a-a9e4-8436e297d489,4.0,6.0,7.0
1344f711-6c58-4234-8b6e-94f33ad875ab,7.0,7.0,7.0
136e763b-e03d-4b11-813b-384d37d65547,4.0,4.0,4.0
14594170-ef22-4f80-88aa-6940be09d12d,,,
1467109d-cad7-404f-937a-5eda934dff5d,11.0,11.0,11.0
14a8dbb7-3c54-4052-9e8b-a13e67b061d8,12.0,12.0,12.0
15053e04-3839-46af-a07f-33112b772adf,,,
1518190c-3000-43f3-a1ab-d441ba424958,5.0,5.0,5.0
16a01beb-be82-4f4d-b7e1-1d39acbdf9a1,5.0,5.0,5.0
175522da-2249-4887-97bb-39c761069c63,3.0,3.0,3.0
1774b08d-210d-4ffb-9689-4d05fed53e40,3.0,3.0,3.0
17a9ae37-3408-4eda-83ef-55385748b63b,3.0,3.0,3.0
17dcfe1b-8fb2-437c-a05f-61c3e2d07697,7.0,7.0,7.0
17efe62c-12b2-4e7c-91d0-f2e0ff771be2,3.0,3.0,3.0
185a9028-8a8d-40d5-9c6e-5dbc67aa65cd,,,
1870afda-762e-479f-a3e6-2e4976e4d1d2,6.0,6.0,6.0
18e412f4-6254-4018-8ba5-0c640a720120,,,
18ff9edd-b96b-4b55-968e-c43fc2e4482a,6.0,7.0,8.0
191f25ef-dfff-4e55-9cf3-58adda9868fb,3.0,3.0,3.0
19839277-8562-41bd-938c-063962f0a922,4.0,5.0,5.0
19e30ff0-d649-4916-ad96-781307cc22ef,4.0,4.0,4.0
1a34f546-473f-45f4-84a2-0c5a80efb0b8,4.0,5.0,5.0
1a56f0b6-796a-4c42-b75a-0be1bab8af3a,11.0,11.0,11.0
1a7a339b-4b30-456a-9ef3-bffaa21e5ca1,3.0,3.0,3.0
1a7ce509-3aca-49f1-b921-5f1fffcc074e,3.0,3.0,3.0
1aacea58-9e7b-4c29-97f2-82c085b25a68,3.0,3.0,3.0
1af153fb-5b25-41b0-80d0-94c2d2b76284,5.0,7.0,9.0
1b086871-d9ee-4d70-8559-9d478340affe,5.0,5.0,6.0
1bc08d29-7614-4792-aca3-a5cfca8c3fd6,,,
1bc32a15-c877-4a3b-8cbe-b49af93e0261,5.0,6.0,7.0
1be3176c-fe22-42e7-80f9-756f5616eac8,7.0,7.0,7.0
1c0cd857-2ef2-4a95-87ad-878f79a88fbc,4.0,4.0,8.0
1c4a1d39-3804-4349-9d75-f0c4a8c3b467,5.0,5.0,7.0
1ca37da2-7be3-42b1-86bb-75e607ae3b7c,,,
1cad67e0-44ff-4006-927f-c7e3def77700,,,
1d258e4c-2fdd-4aaa-beaa-132dc0fc6049,3.0,3.0,3.0
1d71335d-45d9-42ee-93d5-b4bd8fd20930,3.0,3.0,3.0
1dc4ef07-28b2-489d-b8da-4c14b923c887,3.0,3.0,3.0
1dcb55d6-7350-4216-af4c-aa39d51931d8,5.0,6.0,7.0
1e3a1a75-a747-4ca6-97d0-60092584c9ab,,,
1e4a7a71-2fcf-455b-922f-32445c48bdbd,6.0,6.0,6.0
1eca9724-f684-451c-9b32-c7c8ff46827a,4.0,4.0,4.0
1eed46b2-fadc-4d14-8ada-c6bfaf76beb0,4.0,5.0,5.0
1f7c87a8-51e2-4c3e-9853-64e3e0cbc15d,4.0,4.0,4.0
1fd43fde-ea6d-4c6f-bee9-21401520b3a3,,,
1fec077e-3786-493a-81a5-fd4b6d9600a8,,,
2058c198-d418-4abd-a85f-b1f7721f94dc,,,
20cdbd59-2129-4ddf-ae32-1328fd548974,3.0,3.0,3.0
20e8e637-6aee-49cf-a358-4a15f82d1e76,,,
21a0043e-ad05-4801-be9d-9bba069cb0f2,,,
21bee530-fa84-4b4d-9f53-c14b7b77eb56,4.0,5.0,6.0
21c1bc56-09db-4f65-932a-e429f1758f22,,,
220b8346-1186-4643-9f0b-e4d1208448b0,7.0,7.0,7.0
2255b123-9f9a-46b4-bcbb-88b0da12a104,,,
225868ef-20f4-4aed-868c-41d4f7c9f1aa,3.0,3.0,3.0
22966b13-679a-46c8-a463-088c3650be75,5.0,6.0,6.0
22feb038-7ff3-48ea-8b3c-08798778052f,3.0,3.0,3.0
23375f72-2e37-4dbd-81c2-559bcc6bd611,,,
23c07c4e-e767-4831-83c4-bc1727c3d030,,,
23d9398c-688b-4332-a906-4bcc7ae1120a,5.0,6.0,8.0
23ed0dec-f3c5-4590-a37b-09962dae388a,3.0,3.0,3.0
2413831b-7599-4bc5-9237-8f7e92932dfe,7.0,9.0,9.0
244aea99-3d90-4af3-b105-3230aab8081f,3.0,3.0,3.0
2464ae84-13f8-4bc8-8145-4dbca3141391,3.0,3.0,3.0
24c3b0b2-e4d4-4f9b-a26f-0b64381c0a6a,,,
2552857b-a5f0-4450-bca7-10440e83f3ca,,,
258e847f-3c3f-485f-b8d9-381ab8bd8af4,4.0,5.0,6.0
25a848a9-7740-4a46-b999-0ba17238b3f3,5.0,5.0,5.0
25d71baf-21fc-4386-af42-1730316e1a57,5.0,5.0,5.0
260cd602-c361-4cc4-a596-2c0ea8652c91,4.0,4.0,4.0
26c95841-2be3-4c08-9dfd-0dca9909561a,,,
26e3e8d1-6c01-42cc-97e2-d26d9c62bbe2,8.0,8.0,8.0
277388fe-1524-4e31-9a8d-0d904f350925,4.0,4.0,5.0
27ad26d0-514f-4399-a80d-c5b6d6b9a9f9,,,
281f9ef8-1a78-4367-a00b-c765c2186097,,,
2844990a-2afe-48f6-9526-3055acdbaf80,,,
288b1914-13e0-4d0f-a02c-c93218514c06,,,
2891eb26-92c3-4f59-93b5-19380a65520c,4.0,4.0,4.0
289ade07-b2f0-4825-aca1-15459cb5263d,4.0,4.0,4.0
293ce9b5-7fa2-42c9-9fa9-93b9dc8ded9d,,,
2972fff1-726b-413b-86e2-8c628f5d9b75,4.0,6.0,6.0
29dc4efd-69bd-46e2-826b-bf01d379a6f2,3.0,3.0,3.0
2a7e59c9-9b6b-4efa-9a17-134a4b5d704c,3.0,3.0,3.0
2afa22ef-d07b-4b60-8759-b39c2c3fe41a,4.0,4.0,4.0
2b17fb5c-e62e-4d4b-accc-7cf4b95bec29,6.0,8.0,9.0
2b1e608d-ad87-44dd-bf1a-4f274a53ecea,,,
2b4b33fc-fcb2-4d5d-a76e-9cac9eb943d5,,,
2b8e401e-791a-422e-9397-f562b568c5a9,3.0,3.0,3.0
2b967f0d-a201-475b-ac63-877ff97ca908,7.0,9.0,10.0
2c37a66c-7113-4974-b0ad-182e95b37bdf,3.0,3.0,3.0
2c4fc295-d31e-4f39-afd4-f6202ac8bf49,,,
2c5d8cb5-b597-4505-9c82-a2b386d9e599,6.0,7.0,8.0
2c9fd594-6eae-41b0-b94e-90dc63ec2ca8,4.0,6.0,6.0
2d9985d8-a36b-4be3-a981-eea9a9027911,3.0,3.0,3.0
2e9be6be-8627-463e-87f1-f2a7886b2fd5,3.0,3.0,3.0
2ea40e8b-b5ea-422c-8267-7953b316c286,7.0,7.0,7.0
2fa2b27f-610a-46e0-ba88-64f0f2928518,3.0,3.0,3.0
2faed27d-c1f2-4ba8-96a1-4db7b917c5f0,3.0,3.0,3.0
3034782d-9ea3-46f9-bcae-a3af8e14654d,3.0,3.0,3.0
304a250f-a0ff-42b4-ad55-e713bc0b6f65,,,
3050991f-0bf4-47ad-bede-18133498fbb0,10.0,10.0,10.0
30d37193-8501-4ce8-95a8-c3c5fef8ba80,,,
319338aa-3114-446f-960b-216d920deeed,5.0,5.0,5.0
31d097bc-daf0-4b4c-834d-d577aa346680,3.0,3.0,3.0
31fe12d8-75ef-4384-a8a8-11c8a3e3b8ee,4.0,5.0,5.0
3214f31d-7820-44f5-994f-0b4f84ad4a9b,5.0,6.0,8.0
3238c7ea-dc43-4838-9696-4b298d954bfb,4.0,4.0,4.0
323e1830-b7e4-492a-b79c-0cbdbbf725ad,3.0,3.0,3.0
32408476-599a-4583-8f2e-5cdfb6c3b349,3.0,3.0,3.0
32b7ab66-2c60-456b-9e6e-e31636e63d4c,,,
32f44e1d-c5f5-486b-9bce-4af5b698d477,3.0,3.0,3.0
32f6bff4-b9b1-4936-88c4-38939f686bd6,8.0,8.0,8.0
34116726-907f-46bc-9f08-574aa1bf1a5f,7.0,8.0,8.0
3460c3a6-297a-4635-a4fa-7759a0bb16f1,3.0,3.0,3.0
34ab7d63-63e3-4ace-b092-c5896cf35b3f,3.0,3.0,3.0
34b7c62e-baef-419d-8b48-e9ee6ad09825,3.0,3.0,3.0
34e3a08a-82e4-43f8-be66-c7036c083ccc,3.0,3.0,3.0
35301213-1119-45a7-802c-cbbf029bab89,4.0,4.0,4.0
3546bb21-1fb8-492e-b4a1-974b41e2acd8,,,
35eb9881-f996-498c-9f33-37f29b9c4d88,10.0,10.0,10.0
36042b07-b1ff-406a-9111-2917c0079e68,4.0,7.0,8.0
366927da-6e68-4655-bd41-10dce4f5c3cf,3.0,3.0,3.0
370151a8-32e0-43d2-ba04-30b18ec58c2b,3.0,3.0,3.0
3739db8d-ee1f-4353-ad7e-6b2a5f7c4ca0,8.0,8.0,8.0
378e6549-49e4-4c97-a26b-628c92a43742,,,
37a5c617-f54f-48e4-8286-243eb8cfcf61,4.0,5.0,5.0
37c31c31-b81c-425c-a284-e5d91bcf8b95,4.0,5.0,6.0
382e30be-dbf6-426e-a1f3-fad5ee0ab294,4.0,4.0,6.0
390b42ce-f5b3-473b-8302-5e20c5ac6749,3.0,3.0,3.0
391e102d-e4da-46bb-b077-fcbe6cda6ba9,5.0,5.0,5.0
3920404b-7559-4d74-9abc-f10c4bce413c,3.0,3.0,3.0
3975f6a0-81be-4894-8273-ef16b21d44e3,,,
399ea52e-8fcf-46b6-8af9-47f45576611f,4.0,4.0,4.0
39afa026-a4df-4bd0-af58-c17d9018c1ad,3.0,3.0,3.0
39e72386-6409-4a19-9bd5-644796d14bc3,4.0,5.0,5.0
39eb20c1-e8ae-461e-be52-091ab213bdfa,3.0,3.0,3.0
3a0428ec-56a0-4034-87a4-e9d121eca968,3.0,3.0,3.0
3a7340f6-4db2-4d2c-b0d1-7087d60cc2e6,,,
3a74429b-d09d-4091-8848-283831814759,4.0,4.0,7.0
3aa8627c-3e17-476d-9f73-58abb02c7e6b,7.0,9.0,11.0
3ac84231-0f1f-4fbf-989a-368f415014ba,6.0,7.0,9.0
3b10baaa-5087-46dd-960f-b26376eef7fd,3.0,3.0,3.0
3c1b5997-3586-4f8b-9eeb-4ce99bbf1410,3.0,3.0,3.0
3c5c812a-8f99-486f-bfad-5e3a661ba473,,,
3cb71736-4e1a-475b-a305-463fbbb0bf6b,7.0,9.0,10.0
3cf3a38c-21b1-4091-b106-ddde97173daa,3.0,3.0,3.0
3d0ddfe6-2d6f-4dfc-b278-3a98d77630de,,,
3e3220d4-d28b-484a-a894-32efe559317c,3.0,3.0,3.0
3eb42b15-8ab8-49c3-af04-d5825d8dfc1a,4.0,4.0,4.0
3f803100-acc2-4ff8-acc4-b62eeacd2f83,3.0,3.0,3.0
3fa7d0f1-2757-4e41-a7a9-0acaac07a577,5.0,5.0,5.0
3fc4f25c-d3e4-4b5e-a165-2aae659a3ee6,,,
406cde54-7c81-467a-bcef-7e69afab8520,3.0,3.0,3.0
4090fc62-d545-4ce9-a676-f3df713bc64e,,,
40df2e05-5852-4777-acd3-8b39276051a5,3.0,3.0,3.0
4119d3d7-7b06-4965-8885-5bdcb52ec5b9,3.0,3.0,3.0
41499ad2-3a0d-459d-a3cb-ff952a359dfa,3.0,3.0,3.0
41564e66-4035-4e27-ad4e-9032dbf8e844,4.0,4.0,4.0
415c5057-8a1c-473a-bdaa-1cee52c149d4,6.0,6.0,6.0
42f34c7f-07eb-4361-b94c-3e07beb5ecbe,,,
43776923-388e-422b-8e3f-9df859d9bb3b,3.0,3.0,3.0
446bcb79-bde3-410c-b4b7-6f97a91f77a1,5.0,5.0,5.0
446e7135-7c0d-40f3-9a06-9e0bc7d4eef1,,,
44a9f166-56db-4800-8090-59f5ccb3b20c,3.0,3.0,3.0
44bccd62-7567-4b72-b367-4431e3f31bd7,5.0,5.0,6.0
45a64f78-40c2-40c5-a664-db48ef681e01,,,
465f66b7-879e-473f-b5f8-5261cb945aa0,,,
46794377-1fae-46e5-b077-8803656e4f9d,4.0,5.0,6.0
46eeae7d-db35-4aa8-bc83-4e0e96db4b62,,,
477eb317-b202-415b-b445-2da6c3df014f,5.0,6.0,8.0
47a8d6e0-e548-4da0-96f3-34f76e165b8a,,,
47be841f-1ef3-48e9-ab4b-a4343a239989,12.0,12.0,12.0
4833f3b2-7c10-42be-ab3e-f53d68846e03,3.0,3.0,3.0
4901472a-be8d-4d4e-981d-4f3a847f8b35,4.0,5.0,6.0
49f342f7-0947-4dbe-8aa0-95b17c98fcab,4.0,4.0,4.0
4a4d9184-4d2c-4a47-9230-17a498510c9b,3.0,3.0,3.0
4a6227f3-6324-4121-9c3e-1be48b0a8ef2,3.0,3.0,3.0
4abf4b51-4062-4fb3-8e46-5a3550fd9044,,,
4b5875d5-53ab-4386-9f1f-1049448e0874,8.0,8.0,8.0
4b5aed64-cbc5-4c5d-8b6c-0ca763124797,3.0,3.0,3.0
4c10653f-05e4-45e2-8f5d-c2aac2d8fd3f,4.0,5.0,6.0
4c8e2fca-fa4e-43f0-9519-6ebc7e0e5fbc,3.0,3.0,3.0
4d22bd73-913d-4bff-98ae-a1123807dd3b,7.0,7.0,7.0
4d76d66e-ce2d-49e7-96c5-f8e729ccc8c0,4.0,4.0,6.0
4dae08d3-2b8f-4828-830c-e44eda023005,3.0,3.0,3.0
4db02575-0910-476d-9632-aeae01781708,,,
4dfa01fd-2771-4250-a418-ef4d48135c5d,,,
4e0e113e-ad04-4e07-a97f-030ff0766d23,5.0,5.0,6.0
4e5623bd-21e7-4043-bb43-2568524a59d3,4.0,4.0,4.0
4e9c48c5-09fb-415d-be0a-a85154d7451e,5.0,6.0,7.0
4f3a77f3-6e59-4655-b38c-af307b7a0744,6.0,7.0,8.0
4f48a283-fe47-414b-990b-a5ec0d30524c,4.0,4.0,4.0
4f9475f7-f072-47a5-847b-f025c32ebe8e,12.0,12.0,12.0
5008f390-d124-44d3-8f09-834dc002318f,4.0,5.0,6.0
50a9eb1d-375c-42b6-99cf-62c710678d8c,10.0,10.0,10.0
50b582ff-8e95-4a34-a8ae-50aeff5a6943,4.0,5.0,6.0
514c1cc8-c353-4508-8647-3144904c8ab4,,,
516ae0db-f9f9-4139-a974-d2a6b613971e,3.0,3.0,3.0
51b876e0-d594-46fd-8b7c-66ccc548415a,4.0,4.0,5.0
52bf87cd-627c-496d-8745-553817b27de2,5.0,6.0,7.0
